Location,,Time Period,Life expectancy at birth (years),,Government,Index
Afghanistan,,2009,48,,Authoritarian regimes,3.06
Albania,,2009,73,,Hybrid regimes,5.91
Algeria,,2009,72,,Authoritarian regimes,3.17
Angola,,2009,52,,Authoritarian regimes,2.41
Argentina,,2009,75,,Flawed democracies,6.63
Armenia,,2009,70,,Hybrid regimes,4.15
Australia,,2009,82,,Full democracies,9.09
Austria,,2009,80,,Full democracies,8.69
Azerbaijan,,2009,68,,Authoritarian regimes,3.31
Bahrain,,2009,74,,Authoritarian regimes,3.53
Bangladesh,,2009,65,,Flawed democracies,6.11
Belarus,,2009,70,,Authoritarian regimes,3.34
Belgium,,2009,80,,Full democracies,8.15
Benin,,2009,57,,Flawed democracies,6.16
Bhutan,,2009,63,,Authoritarian regimes,2.62
Bolivia,,2009,68,,Flawed democracies,5.98
Bosnia and Herzegovina,,2009,76,,Hybrid regimes,5.78
Botswana,,2009,61,,Flawed democracies,7.60
Brazil,,2009,73,,Flawed democracies,7.38
Bulgaria,,2009,74,,Flawed democracies,7.10
Burkina Faso,,2009,52,,Authoritarian regimes,3.72
Burundi,,2009,50,,Hybrid regimes,4.51
Cambodia,,2009,61,,Hybrid regimes,4.77
Cameroon,,2009,51,,Authoritarian regimes,3.27
Canada,,2009,81,,Full democracies,9.07
Cape Verde,,2009,71,,Flawed democracies,7.43
Central African Republic,,2009,48,,Authoritarian regimes,1.61
Chad,,2009,48,,Authoritarian regimes,1.65
Chile,,2009,79,,Flawed democracies,7.89
China,,2009,74,,Authoritarian regimes,2.97
Colombia,,2009,76,,Flawed democracies,6.40
Comoros,,2009,60,,Authoritarian regimes,3.90
Congo,,2009,55,,Authoritarian regimes,3.19
Costa Rica,,2009,79,,Full democracies,8.04
Croatia,,2009,76,,Flawed democracies,7.04
Cuba,,2009,78,,Authoritarian regimes,3.52
Cyprus,,2009,81,,Flawed democracies,7.60
Czech Republic,,2009,77,,Full democracies,8.17
Democratic People's Republic of Korea,,2009,70,,Flawed democracies,7.88
Democratic Republic of the Congo,,2009,49,,Authoritarian regimes,2.76
Denmark,,2009,79,,Full democracies,9.52
Djibouti,,2009,60,,Authoritarian regimes,2.37
Ecuador,,2009,75,,Hybrid regimes,5.64
Egypt,,2009,71,,Authoritarian regimes,3.90
El Salvador,,2009,72,,Flawed democracies,6.22
Equatorial Guinea,,2009,53,,Authoritarian regimes,2.09
Eritrea,,2009,66,,Authoritarian regimes,2.31
Estonia,,2009,75,,Flawed democracies,7.74
Ethiopia,,2009,54,,Hybrid regimes,4.72
Fiji,,2009,69,,Hybrid regimes,5.66
Finland,,2009,80,,Full democracies,9.25
France,,2009,81,,Full democracies,8.07
Gabon,,2009,62,,Authoritarian regimes,2.72
Gambia,,2009,60,,Hybrid regimes,4.39
Georgia,,2009,71,,Hybrid regimes,4.90
Germany,,2009,80,,Full democracies,8.82
Ghana,,2009,60,,Hybrid regimes,5.35
Greece,,2009,80,,Full democracies,8.13
Guatemala,,2009,69,,Flawed democracies,6.07
Guinea,,2009,52,,Authoritarian regimes,2.02
Guinea-Bissau,,2009,49,,Authoritarian regimes,2.00
Guyana,,2009,67,,Flawed democracies,6.15
Haiti,,2009,62,,Hybrid regimes,4.19
Honduras,,2009,69,,Flawed democracies,6.25
Hungary,,2009,74,,Flawed democracies,7.53
Iceland,,2009,82,,Full democracies,9.71
India,,2009,65,,Flawed democracies,7.68
Indonesia,,2009,68,,Flawed democracies,6.41
Iran,,2009,73,,Authoritarian regimes,2.93
Iraq,,2009,66,,Hybrid regimes,4.01
Ireland,,2009,80,,Full democracies,9.01
Israel,,2009,82,,Flawed democracies,7.28
Italy,,2009,82,,Flawed democracies,7.73
Jamaica,,2009,71,,Flawed democracies,7.34
Japan,,2009,83,,Full democracies,8.15
Jordan,,2009,71,,Authoritarian regimes,3.92
Kazakhstan,,2009,64,,Authoritarian regimes,3.62
Kenya,,2009,60,,Hybrid regimes,5.08
Kuwait,,2009,78,,Authoritarian regimes,3.09
Kyrgyzstan,,2009,66,,Hybrid regimes,4.08
Laos,,2009,63,,Authoritarian regimes,2.10
Latvia,,2009,72,,Flawed democracies,7.37
Lebanon,,2009,74,,Hybrid regimes,5.82
Lesotho,,2009,48,,Flawed democracies,6.48
Liberia,,2009,56,,Hybrid regimes,5.22
Libya,,2009,72,,Authoritarian regimes,1.84
Lithuania,,2009,73,,Flawed democracies,7.43
Luxembourg,,2009,81,,Full democracies,9.10
Madagascar,,2009,65,,Hybrid regimes,5.82
Malawi,,2009,47,,Hybrid regimes,4.97
Malaysia,,2009,73,,Flawed democracies,5.98
Mali,,2009,53,,Flawed democracies,5.99
Malta,,2009,80,,Full democracies,8.39
Mauritania,,2009,58,,Authoritarian regimes,3.12
Mauritius,,2009,73,,Full democracies,8.04
Mexico,,2009,76,,Flawed democracies,6.67
Mongolia,,2009,69,,Flawed democracies,6.60
Montenegro,,2009,75,,Flawed democracies,6.57
Mozambique,,2009,64,,Hybrid regimes,5.28
Myanmar,,2009,64,,Authoritarian regimes,1.77
Namibia,,2009,57,,Flawed democracies,6.54
Nepal,,2009,67,,Authoritarian regimes,3.42
Netherlands,,2009,81,,Full democracies,9.66
New Zealand,,2009,81,,Full democracies,9.01
Nicaragua,,2009,74,,Hybrid regimes,5.68
Niger,,2009,57,,Authoritarian regimes,3.54
Nigeria,,2009,54,,Authoritarian regimes,3.52
Norway,,2009,81,,Full democracies,9.55
Oman,,2009,74,,Authoritarian regimes,2.77
Pakistan,,2009,63,,Authoritarian regimes,3.92
Panama,,2009,77,,Flawed democracies,7.35
Papua New Guinea,,2009,63,,Flawed democracies,6.54
Paraguay,,2009,74,,Flawed democracies,6.16
Peru,,2009,76,,Flawed democracies,6.11
Philippines,,2009,70,,Flawed democracies,6.48
Poland,,2009,76,,Flawed democracies,7.30
Portugal,,2009,79,,Full democracies,8.16
Qatar,,2009,78,,Authoritarian regimes,2.78
Republic of Korea,,2009,80,,Authoritarian regimes,1.03
Republic of Moldova,,2009,69,,Flawed democracies,6.50
Romania,,2009,73,,Flawed democracies,7.06
Russian Federation,,2009,68,,Hybrid regimes,5.02
Rwanda,,2009,59,,Authoritarian regimes,3.82
Saudi Arabia,,2009,72,,Authoritarian regimes,1.92
Senegal,,2009,62,,Hybrid regimes,5.37
Serbia,,2009,74,,Flawed democracies,6.62
Sierra Leone,,2009,49,,Authoritarian regimes,3.57
Singapore,,2009,82,,Hybrid regimes,5.89
Slovakia,,2009,75,,Flawed democracies,7.40
Slovenia,,2009,79,,Full democracies,7.96
South Africa,,2009,54,,Flawed democracies,7.91
Spain,,2009,82,,Full democracies,8.34
Sri Lanka,,2009,71,,Flawed democracies,6.58
Sudan,,2009,59,,Authoritarian regimes,2.90
Suriname,,2009,72,,Flawed democracies,6.52
Swaziland,,2009,49,,Authoritarian regimes,2.93
Sweden,,2009,81,,Full democracies,9.88
Switzerland,,2009,82,,Full democracies,9.02
Syrian Arab Republic,,2009,74,,Authoritarian regimes,2.36
Tajikistan,,2009,68,,Authoritarian regimes,2.45
Thailand,,2009,70,,Hybrid regimes,5.67
Macedonia,,2009,74,,Flawed democracies,6.33
Timor-Leste,,2009,67,,Flawed democracies,6.41
Togo,,2009,59,,Authoritarian regimes,1.75
Trinidad and Tobago,,2009,70,,Flawed democracies,7.18
Tunisia,,2009,75,,Authoritarian regimes,3.06
Turkey,,2009,75,,Hybrid regimes,5.70
Turkmenistan,,2009,63,,Authoritarian regimes,1.83
Uganda,,2009,52,,Hybrid regimes,5.14
Ukraine,,2009,68,,Flawed democracies,6.94
United Kingdom,,2009,80,,Full democracies,8.08
United Republic of Tanzania,,2009,55,,Hybrid regimes,5.18
United States of America,,2009,79,,Full democracies,8.22
Uruguay,,2009,76,,Full democracies,7.96
Uzbekistan,,2009,69,,Authoritarian regimes,1.85
Venezuela,,2009,75,,Hybrid regimes,5.42
Vietnam,,2009,72,,Authoritarian regimes,2.75
Yemen,,2009,65,,Authoritarian regimes,2.98
Zambia,,2009,48,,Hybrid regimes,5.25
Zimbabwe,,2009,49,,Authoritarian regimes,2.62
